Category,Component,Qty,Notes
Filament,Primary color,2,
Printed Parts,,1,
Frame,2040 x 450mm,2,
Frame,2020 x 270mm,2,
Frame,2040 x 320mm,2,
Frame,2040 x 310mm,1,
Motion,GT2 Open Belt LL-2GT-6 (6mm wide) - 800mm,2,
Motion,GT2 20T (6mm wide) Pulley (5mm bore),2,
Motion,GT2 20T (6mm wide) Idler Pulley (3mm bore),2,
Motion,"Linear Rods - 6mm, 300mm",6,"X,Y,Z axis"
Motion,Linear Bearings - LM6UU,6,X and Z axis
Motion,Linear Bearings - SC6UU,4,Y axis
Motion,Lead Screw TR8 x 2/4/8 Pitch - 200mm,2,
Motion,Flexing Coupling 5mm+8 mm,2,
Motion,T8 Nut,2,
Motion,2GT Timing Belt Fixing Clamp 2mm pitch,1,
Vibration mangment,Rubber Compressor Foot,4,(5mm bore)
Vibration mangment,Silicon Spacer for Hot Bed Leveling,4,
Extruder,E3D Titan Extruder 1.75mm Kit,1,
Hotend,V6 j-head Hotend Wade Extruder 12V Kit,1,Thermocouple + Fan
Electronics,Omron Mouse Button - Micro Switch,3,
Electronics,Hotbed MOSFET 30A 2-pin for RAMPS/ANET,1,
Electronics,Nema 17 Motor 42mm,4,
Electronics,Nema 17 Motor 20mm,1,For Titan extruder
Electronics,Power Supply S360-12 360W,1,
Electronics,10A/15A 250V AC Power Socket/Inlet,1,
Electronics,C13 Power Cord,1,
Electronics,40x40x10 Centrifugal Blower Fan (12V),2,
Controller,Raspberry Pi Zero WH,1,
Controller,Micro SD Card 32Gb,1,
Controller,SKR 2,1,
Controller,TMC 2209 Drivers,5,
Controller,Display Cables,2,
Controller,RepRap Discount Smart Controller,1,
Misc,DIN Rail Steel 270mm long - 35mm wide - 7.5mm tall,2,
Panels,Front panel 3mm,1,
Panels,Back panel 3mm,1,
Buildplate,PEI Kit 214mm (Magnetic+ Steel Sheets),1,
Buildplate,MK3 Hot Bed 214x214mm +Thermistor,1,
Cables,Nylon Cable Ties Pack,1,
Cables,JST-SM Female Pin,12,
Cables,JST-SM Male Pin,12,
Cables,JST-SM Female Connector 4 Position,1,
Cables,JST-SM Male Connector  4 Position,1,
Cables,JST-SM Female Connector 2 Position,4,
Cables,JST-SM Female Connector 2 Position,4,
Cables,JST-XH Female Pin,40,
Cables,JST-XH Connector Plug 4 Position,5,
Cables,JST-XH Connector Plug 3 Position,4,
Cables,JST-XH Connector Plug 2 Position,4,
Cables,Dupont Female Pin,4,
Cables,Dupont 1 Pin Connector,4,
Cables,24AWG Silicone Cable (25ft total),1,
Cables,20AWG Silicone Cable (15ft total),1,
Fasteners,M2x12 Self Tapping Screw for Plastics,28,
Fasteners,"M3 Heat Set Inserts (M3x5x4), pack - 100 pcs.",1,
Fasteners,M3 Washer,4,
Fasteners,M3x6 BHCS,4,
Fasteners,M3x8 BHCS,31,
Fasteners,M3x10 BHCS,8,
Fasteners,M3x12 BHCS,3,
Fasteners,M3x15 BHCS,4,
Fasteners,M3x12 Flat,4,
Fasteners,M3x25 BHCS,1,
Fasteners,M4x8 BHCS,16,
Fasteners,M5x10 BHCS,51,
Fasteners,M5x16 BHCS,28,
Fasteners,M5 Roll-in T-Nut,59,
Fasteners,M5 Hexnut,4,
